Script: resnet34_corn_afad.py
PyTorch version: 1.11.0+cu102
Device: cuda:1
Learning rate: 0.0005
Batch size: 16

Epoch: 003/050 | Batch 0400/2884 | Loss: 0.3435
Epoch: 003/050 | Batch 0450/2884 | Loss: 0.3771
Epoch: 003/050 | Batch 0500/2884 | Loss: 0.3077
Epoch: 003/050 | Batch 0550/2884 | Loss: 0.2988
Epoch: 003/050 | Batch 0600/2884 | Loss: 0.3872
Epoch: 003/050 | Batch 0650/2884 | Loss: 0.4275
Epoch: 003/050 | Batch 0700/2884 | Loss: 0.3238
Epoch: 003/050 | Batch 0750/2884 | Loss: 0.3844
Epoch: 003/050 | Batch 0800/2884 | Loss: 0.3324
Epoch: 003/050 | Batch 0850/2884 | Loss: 0.3507
Epoch: 003/050 | Batch 0900/2884 | Loss: 0.3151
Epoch: 003/050 | Batch 0950/2884 | Loss: 0.3245
Epoch: 003/050 | Batch 1000/2884 | Loss: 0.3635
Epoch: 003/050 | Batch 1050/2884 | Loss: 0.3640
Epoch: 003/050 | Batch 1100/2884 | Loss: 0.3746
Epoch: 003/050 | Batch 1150/2884 | Loss: 0.3808
Epoch: 003/050 | Batch 1200/2884 | Loss: 0.3794
Epoch: 003/050 | Batch 1250/2884 | Loss: 0.3586
Epoch: 003/050 | Batch 1300/2884 | Loss: 0.3726
Epoch: 003/050 | Batch 1350/2884 | Loss: 0.4053
Epoch: 003/050 | Batch 1400/2884 | Loss: 0.4772
Epoch: 003/050 | Batch 1450/2884 | Loss: 0.3379
Epoch: 003/050 | Batch 1500/2884 | Loss: 0.3268
Epoch: 003/050 | Batch 1550/2884 | Loss: 0.3102
Epoch: 003/050 | Batch 1600/2884 | Loss: 0.4391
Epoch: 003/050 | Batch 1650/2884 | Loss: 0.3419
Epoch: 003/050 | Batch 1700/2884 | Loss: 0.3802
Epoch: 003/050 | Batch 1750/2884 | Loss: 0.4638
Epoch: 003/050 | Batch 1800/2884 | Loss: 0.3885
Epoch: 003/050 | Batch 1850/2884 | Loss: 0.3474
Epoch: 003/050 | Batch 1900/2884 | Loss: 0.4242
Epoch: 003/050 | Batch 1950/2884 | Loss: 0.3644
Epoch: 003/050 | Batch 2000/2884 | Loss: 0.5820
Epoch: 003/050 | Batch 2050/2884 | Loss: 0.3112
Epoch: 003/050 | Batch 2100/2884 | Loss: 0.4386
Epoch: 003/050 | Batch 2150/2884 | Loss: 0.4514
Epoch: 003/050 | Batch 2200/2884 | Loss: 0.4413
Epoch: 003/050 | Batch 2250/2884 | Loss: 0.2800
Epoch: 003/050 | Batch 2300/2884 | Loss: 0.3707
Epoch: 003/050 | Batch 2350/2884 | Loss: 0.3575
Epoch: 003/050 | Batch 2400/2884 | Loss: 0.3891
Epoch: 003/050 | Batch 2450/2884 | Loss: 0.3453
Epoch: 003/050 | Batch 2500/2884 | Loss: 0.2710
Epoch: 003/050 | Batch 2550/2884 | Loss: 0.4080
Epoch: 003/050 | Batch 2600/2884 | Loss: 0.3765
Epoch: 003/050 | Batch 2650/2884 | Loss: 0.3119
Epoch: 003/050 | Batch 2700/2884 | Loss: 0.4071
Epoch: 003/050 | Batch 2750/2884 | Loss: 0.3202
Epoch: 003/050 | Batch 2800/2884 | Loss: 0.3958
Epoch: 003/050 | Batch 2850/2884 | Loss: 0.3402
MAE Current Valid: 2.94 Ep. 3 | Best Valid: 2.94 Ep. 3
Time elapsed: 6.70 min
Epoch: 004/050 | Batch 0000/2884 | Loss: 0.3707
Epoch: 004/050 | Batch 0050/2884 | Loss: 0.4029
Epoch: 004/050 | Batch 0100/2884 | Loss: 0.4766
Epoch: 004/050 | Batch 0150/2884 | Loss: 0.4144
Epoch: 004/050 | Batch 0200/2884 | Loss: 0.4266
Epoch: 004/050 | Batch 0250/2884 | Loss: 0.3088
Epoch: 004/050 | Batch 0300/2884 | Loss: 0.4093
Epoch: 004/050 | Batch 0350/2884 | Loss: 0.2917
Epoch: 004/050 | Batch 0400/2884 | Loss: 0.2904
Epoch: 004/050 | Batch 0450/2884 | Loss: 0.3869
Epoch: 004/050 | Batch 0500/2884 | Loss: 0.3436
Epoch: 004/050 | Batch 0550/2884 | Loss: 0.4087
Epoch: 004/050 | Batch 0600/2884 | Loss: 0.4355
Epoch: 004/050 | Batch 0650/2884 | Loss: 0.3880
Epoch: 004/050 | Batch 0700/2884 | Loss: 0.4532
